airbnb_listing_id,price,ano,mes,dia,latitude,longitude,Address
6.998880586984461e+17,850.0,2022.0,10.0,30.0,-27.13271,-48.59992,Meia Praia
5.3840117332567546e+17,800.0,2022.0,10.0,20.0,-27.12018,-48.60956,Morretes
26334990.0,800.0,2022.0,10.0,15.0,-27.1259,-48.60147,Meia Praia
5.948570025692212e+17,900.0,2022.0,10.0,26.0,-27.124537,-48.606159,Meia Praia
41317188.0,1200.0,2022.0,10.0,8.0,-27.12767,-48.60484,Meia Praia
22764830.0,299.0,2022.0,10.0,21.0,-27.13221,-48.59869,Meia Praia
7.305035802896484e+17,900.0,2022.0,11.0,25.0,-27.10401668523824,-48.6141370973257,Centro
31543199.0,550.0,2022.0,11.0,1.0,-27.13193,-48.5987,Meia Praia
5.736979597082523e+17,130.0,2022.0,11.0,12.0,-27.13733,-48.59752,Meia Praia
53133078.0,1200.0,2022.0,11.0,13.0,-27.126171,-48.607101,Meia Praia
41082289.0,1400.0,2022.0,9.0,15.0,-27.13137,-48.59889,Meia Praia
43030317.0,600.0,2022.0,12.0,1.0,-27.0897,-48.61344,Centro
22191680.0,195.0,2022.0,7.0,28.0,-27.1374,-48.59381,Meia Praia
14119542.0,680.0,2022.0,10.0,24.0,-27.12666,-48.60419,Meia Praia
40828524.0,200.0,2022.0,11.0,13.0,-27.13877,-48.59734,Meia Praia
51825638.0,650.0,2022.0,10.0,26.0,-27.14132,-48.59172,Meia Praia
41470273.0,230.0,2022.0,11.0,24.0,-27.13865,-48.59335,Meia Praia
40888327.0,500.0,2022.0,11.0,4.0,-27.13295,-48.59504,Meia Praia
39197724.0,420.0,2022.0,11.0,25.0,-27.12348,-48.60614,Meia Praia
41532894.0,230.0,2022.0,9.0,23.0,-27.12496,-48.60491,Meia Praia
31945494.0,400.0,2022.0,12.0,7.0,-27.13127,-48.60076,Meia Praia
45609917.0,550.0,2022.0,11.0,15.0,-27.13781,-48.59252,Meia Praia
29013012.0,900.0,2022.0,10.0,18.0,-27.13475,-48.60226,Meia Praia
23023313.0,450.0,2022.0,11.0,28.0,-27.116337,-48.608612,Morretes
44895797.0,225.0,2022.0,8.0,7.0,-27.1299,-48.59903,Meia Praia
53558707.0,880.0,2022.0,11.0,30.0,-27.09605,-48.61482,Centro
47441628.0,280.0,2022.0,11.0,29.0,-27.12771,-48.60588,Meia Praia
48600810.0,9999.0,2022.0,11.0,21.0,-27.092176,-48.613792,Centro
45184991.0,250.0,2022.0,10.0,14.0,-27.12521,-48.60412,Meia Praia
37143600.0,700.0,2022.0,10.0,21.0,-27.13005,-48.59988,Meia Praia
45655263.0,700.0,2022.0,10.0,29.0,-27.12968,-48.60353,Meia Praia
39109062.0,1000.0,2022.0,10.0,29.0,-27.13773,-48.593,Meia Praia
54367133.0,606.0,2022.0,10.0,14.0,-27.12685,-48.60374,Meia Praia
52837620.0,1400.0,2022.0,12.0,7.0,-27.12465,-48.60276,Meia Praia
40560834.0,345.0,2022.0,6.0,23.0,-27.0914,-48.61215,Centro
