ad_id,number_of_bathrooms,number_of_bedrooms,number_of_beds,latitude,longitude,ano,mes,dia,Address
15791567.0,3,3,5.0,-27.12864,-48.59962,2022.0,10.0,31.0,Meia Praia
53698305.0,4,4,5.0,-27.12354,-48.60637,2022.0,10.0,31.0,Meia Praia
7.343179802367254e+17,4,4,5.0,-27.129,-48.6,2022.0,12.0,5.0,Meia Praia
45768161.0,2,3,3.0,-27.13265,-48.5978,2022.0,12.0,5.0,Meia Praia
46011131.0,2,3,3.0,-27.122,-48.607,2022.0,12.0,5.0,Meia Praia
46732171.0,2,3,6.0,-27.136,-48.6,2022.0,12.0,5.0,Meia Praia
53007535.0,3,2,2.0,-27.09507,-48.61159,2022.0,10.0,24.0,Centro
6.21626596784794e+17,2,3,6.0,-27.12109,-48.60821,2022.0,10.0,24.0,Meia Praia
39789650.0,2,2,2.0,-27.12264,-48.60869,2022.0,10.0,31.0,Meia Praia
45803876.0,3,3,3.0,-27.12397,-48.60881,2022.0,10.0,31.0,Meia Praia
39820601.0,2,2,4.0,-27.14094,-48.59568,2022.0,12.0,5.0,Meia Praia
53986731.0,2,3,3.0,-27.09356,-48.61214,2022.0,10.0,31.0,Centro
3325949.0,2,2,4.0,-27.1,-48.616,2022.0,10.0,31.0,Centro
53700102.0,3,3,3.0,-27.12891,-48.60123,2022.0,10.0,31.0,Meia Praia
23693720.0,3,4,10.0,-27.09792,-48.61699,2022.0,10.0,31.0,Centro
45480718.0,2,3,4.0,-27.129,-48.605,2022.0,7.0,11.0,Meia Praia
53904296.0,2,2,3.0,-27.12277,-48.61765,2022.0,10.0,31.0,Centro
53395021.0,2,2,2.0,-27.1327,-48.61169,2022.0,7.0,18.0,Centro
51879136.0,2,4,5.0,-27.097,-48.618,2022.0,7.0,18.0,Meia Praia
6.976043638588069e+17,1,2,2.0,-27.15907,-48.56465,2022.0,11.0,28.0,Morretes
31259423.0,2,2,3.0,-27.12225,-48.61456,2022.0,12.0,5.0,Meia Praia
42040998.0,2,2,4.0,-27.13371,-48.59671,2022.0,12.0,5.0,Centro
23390752.0,1,3,4.0,-27.108,-48.615,2022.0,10.0,31.0,Meia Praia
7.195821283813002e+17,3,4,7.0,-27.12474,-48.60846,2022.0,12.0,5.0,Meia Praia
5.6500704995653536e+17,2,3,3.0,-27.137,-48.59572,2022.0,12.0,5.0,Meia Praia
6.181506935266563e+17,2,2,4.0,-27.135,-48.599,2022.0,11.0,28.0,Morretes
41165390.0,5,4,4.0,-27.12028,-48.60932,2022.0,10.0,31.0,Meia Praia
51861410.0,2,3,3.0,-27.0976,-48.6198,2022.0,7.0,11.0,Meia Praia
46394467.0,1,2,3.0,-27.132,-48.601,2022.0,10.0,31.0,Meia Praia
51990592.0,2,3,7.0,-27.124,-48.605,2022.0,10.0,31.0,Meia Praia
30318082.0,3,4,4.0,-27.13588,-48.60028,2022.0,10.0,31.0,Meia Praia
22764830.0,2,2,2.0,-27.13221,-48.59869,2022.0,10.0,24.0,Meia Praia
54067586.0,3,3,4.0,-27.14567,-48.58924,2022.0,7.0,18.0,Meia Praia
53753908.0,2,3,3.0,-27.09375,-48.625,2022.0,7.0,4.0,Meia Praia
6.78242953903454e+17,2,2,3.0,-27.13409,-48.59766,2022.0,11.0,28.0,Meia Praia
