,ADDRESS,APARTMENT,FLAT,HOME,ALLOTMENT
0,Morretes,772535.693877551,444978.6666666667,545329.514084507,764443.2558139535
1,Ilhota,5462670.384615385,188151.33333333334,8336911.111111111,2144125.0
2,Centro,2936014.7419871795,652800.0,4510134.615384615,2193087.6
3,Meia Praia,2084102.5384346,629856.1363636364,2100030.350515464,10605555.555555556
4,Canto da Praia,2429772.097222222,,14550094.962962963,25941590.90909091
